,Address Sender,Address Receiver,Transaction_value
226,4805805,517587,200.0
227,2969387,1850991,800.0
228,498576,5311533,1968.81
229,5311533,3936377,2467.81
230,3936377,2313496,1717.8
231,239379,5211481,350.0
232,2313496,4355890,751.11
233,636952,6271991,354.31
234,1398916,2888041,1666.0
235,2888041,5311533,150.0
236,6271991,3618733,6.3
237,3418377,1740237,149.99
238,1008527,5554320,3420.6
239,636952,3999194,250.0
240,5211481,5311533,650.0
241,5554320,2377352,4366.6
242,2377352,6462575,105.0
243,2335172,5775545,3506.6
244,4319148,3339179,376.21
245,4319148,3339179,100.0
246,1740237,4237049,32.2
247,2667373,4631572,49.0
248,2811644,4140338,1.22
249,967720,5177572,150.0
250,3363350,1073908,650.0
251,1708170,5847091,100.44
252,5177572,6061300,800.0
253,1758689,3689805,4.02
254,2239542,5080505,49.01
255,453717,5258906,48.1
256,5258906,2476298,100.05
257,1119042,1119042,250.0
258,865139,6462575,6.0
259,6323354,2484652,50.0
260,5237191,3153559,1.25
261,624872,2727912,2.0
262,2484652,2346100,700.0
263,347705,636952,700.0
264,1850991,5705013,3800.0
265,5033223,1738613,150.0
266,919849,969940,80.56
267,5705013,233833,1700.0
268,5854169,3536628,10000.5
269,1874452,3153559,10000.0
270,2727912,4375172,10001.0
271,4375172,3153559,250.0
272,4828121,5395691,650.0
273,5775545,2544139,3306.6
274,962628,2346100,1900.0
275,2346100,6270284,2000.0
276,3143208,2346100,1705.0
277,245177,5221207,64.0
278,2346100,6270284,459.0
279,43385,1853530,5683.17
280,285241,3094925,5634.17
281,1148982,4832439,49.0
282,1089670,3788236,53.79
283,4832439,5750454,8401.0
284,3353618,6016308,50.01
285,4319148,5861649,0.01
286,3290136,3291221,100.0
287,725168,508238,49.0
288,197332,2802231,1.0
289,1171975,4665707,1.0
290,969940,6275607,14007.26
291,5554320,6330449,5163.74
292,1171975,248286,200.0
293,248286,1171975,500.0
294,6330449,3680955,0.93
295,158781,3421567,13986.91
296,3680955,2048405,1.0
297,2048405,2048405,49.0
298,2048405,2288317,1099.5
299,1008527,5333796,150.05
300,2048405,517335,150.5
301,1690410,6142137,451.0
302,2840747,6462575,260.0
303,4314557,6271991,49.98
304,3999194,6271991,0.02
305,1235802,6271991,0.01
306,209681,1738004,0.03
307,1738004,209681,600.0
308,5554320,602867,100.0
309,2914902,5166220,203.0
310,366968,5554320,652.57
311,6142137,5554320,14.26
312,517335,5554320,5300.0
313,2544139,1090758,3656.6
314,52499,5554320,2500.0
315,602867,5554320,1206.0
316,1090758,4727389,55.6
317,345664,5554320,3457.0
318,5040677,5554320,207.0
319,4835655,5554320,857.0
320,1472398,5554320,357.0
321,2364097,5554320,457.0
322,3207130,5554320,607.0
323,65087,5554320,307.0
324,2983608,5713975,2844.0
325,5713975,5554320,3607.0
326,2124547,5554320,6507.0
327,1181281,5554320,156.0
328,1351951,5554320,108.0
329,2897233,5698738,2508.0
330,5698738,5554320,7745.45
331,2161130,5554320,2468.55
332,760188,5554320,307.0
333,4429755,5554320,108.0
334,4602357,5719335,1474.0
335,5719335,6085617,1417.0
336,6085617,5554320,156.0
337,4199587,5554320,108.0
338,1045075,5554320,5306.0
339,1545515,5554320,1107.0
340,852614,5877599,932.0
341,5877599,5554320,307.0
342,2383681,5554320,207.0
343,4038024,5554320,1107.0
344,5150366,5554320,257.0
345,1385003,5554320,557.0
346,2204782,5554320,350.0
347,209681,1738004,100.0
348,1691233,4631572,101.0
349,2453464,6462575,2001.0
350,1738004,209681,5000.0
351,1238778,1853530,2950.0
352,1562128,1815560,300.0
353,3903956,1738004,277.75
354,4185722,4313237,32204.86
355,86141,4734072,1.48
356,4734072,2465784,154.82
357,1708170,3910296,1808.61
358,4805637,5602294,1350.0
359,1708170,1111671,8200.0
360,5682711,2172350,14000.0
361,3057107,1330280,1300.0
362,1330280,2213385,59.0
363,6275607,5527524,1.0
364,6275607,278953,49.0
365,6275607,4711609,1.0
366,1377433,5952528,49.99
367,1721640,6036207,0.14
368,5166309,2858462,397.99
369,527533,3670563,700.0
370,3670563,3566407,100.0
371,3339179,4284643,1304.35
372,215183,3381281,450.15
373,763548,2610788,355.79
374,209681,1061095,1200.01
375,1738004,3981822,54.75
376,2835865,4691011,2.0
377,3153559,4691011,1.0
378,3153559,4691011,100.25
379,3536628,4691011,101.25
380,2994612,4691011,1000.0
381,2240303,4691011,1000.0
382,3788236,4217451,44.35
383,4691011,4017208,242.75
384,3129013,4691011,70.0
385,5554320,3381173,3457.0
386,5554320,1583645,3950.0
387,3375274,4116793,500.0
388,1853530,1724240,55.0
389,3601628,1071787,45.0
390,2932447,4631572,751.0
391,3656023,6142137,1001.0
392,1894269,6462575,56.0
393,4829324,4350733,46.0
394,6142137,1163859,600.0
395,4631572,2236440,600.0
396,3505894,5526357,42.0
397,1163859,1163859,100.0
398,2236440,1171975,75.0
399,5526357,1381648,106.0
400,4651866,5890611,8.0
401,509899,4747662,107.0
402,1071787,4850664,146.1
403,1961018,5656176,210.0
404,5469638,5082737,2020.0
405,1421633,4850664,100.0
406,4850664,3099577,26.34
407,1583645,4850664,23.0
408,3099577,4850664,60.0
409,4053617,4850664,355.0
410,4850664,5747122,63.0
411,4850664,4829952,105.0
412,1238183,4850664,311.0
413,5747122,4193836,350.41
414,4017208,2577462,360.0
415,2636950,5779739,251.0
416,4691011,3141738,7000.0
417,1583645,5044787,0.3
418,3618733,2324342,59.0
419,2324342,5676329,5.0
420,4850664,4820028,1305.0
421,5554320,6046753,257.0
422,5082737,3368387,110.0
423,6462575,5554320,100.0
424,5044787,6462575,247.87
425,3588693,5554320,120.0
426,1565096,6462575,23.310000000000002
427,352822,6462575,1526.71
428,2238705,6462575,100.01
429,788801,6462575,750.01
430,5359519,6462575,450.01
431,4726041,6462575,1350.01
432,2992788,6462575,100.01
433,3450425,6462575,150.01
434,846442,6462575,100.01
435,2443241,6462575,1000.01
436,2694069,6462575,500.01
437,6006128,6462575,450.01
438,3753924,6462575,500.01
439,6269802,6462575,550.01
440,5639641,6462575,100.01
441,987892,6462575,150.01
442,6117489,6462575,200.01
443,744140,6462575,800.01
444,1593734,6462575,523.49
445,4744898,6462575,0.73
446,1424919,6462575,100.01
447,774448,6462575,350.01
448,3369601,6462575,200.01
449,3939327,6462575,100.01
450,6133652,6462575,350.01
451,341160,6462575,200.01
452,4586551,6462575,100.01
453,62425,6462575,100.01
454,3343112,6462575,550.01
455,4473555,6462575,650.01
456,6401736,6462575,23.490000000000002
457,6337722,6462575,28.270000000000003
458,3599370,6462575,371.75
459,5060171,6462575,500.01
460,3484570,6462575,100.01
